content,score
This app is getting so annoying the algorithm shows me absolute garbage every single time I open it,NEGATIVO
This app is so full of annoying ads I cannot scroll anymore.,NEGATIVO
I hate how much ads Instagram forces on you. It constantly interrupts the scrolling experience. It feels like they prioritize money over actual content.,NEGATIVO
The algorithm is broken and I see nothing I actually want to see.,NEGATIVO
The algorithm is completely broken I see terrible ads all the time.,NEGATIVO
This app is so annoying the algorithm just feeds me garbage content all the time I hate the endless scrolling it is truly toxic,NEGATIVO
the feed is full of irrelevant ads and the app constantly freezes,NEGATIVO
The constant ads are annoying and the feed algorithm is terrible. It constantly shows me irrelevant stuff and the loading times are awful. I hate using this app now.,NEGATIVO
This app is constantly pushing me to buy things. It feels less like a social network and more like a relentless advertisement machine.,NEGATIVO
This app constantly crashes when I try to upload stories it is completely unusable.,NEGATIVO
The algorithm is completely broken it shows me nothing I want to see.,NEGATIVO
The algorithm is completely broken I see nothing interesting anymore the feed is full of spam and irrelevant stuff,NEGATIVO
This app is completely broken. The feed algorithm is pushing irrelevant content and the notifications are constantly spamming me. I cannot figure out how to turn off these intrusive ads. It is incredibly frustrating and a total waste of time.,NEGATIVO
The algorithm shows me nothing I want to see.,NEGATIVO
The algorithm is completely broken. It hides good content and makes everything feel fake.,NEGATIVO
The constant push for ads is ruining the experience. I just want to scroll without being bombarded by sponsored content. It feels like they prioritize revenue over actual content delivery. This is extremely annoying.,NEGATIVO
This app is so annoying the algorithm keeps changing and I hate the new layout completely,NEGATIVO
The algorithm is completely broken and the constant ads are infuriating,NEGATIVO
This update is terrible the navigation is completely broken and I cannot find my old messages anymore it is completely unusable now I hate this app,NEGATIVO
The feed is completely useless now. Everything is pushed to me that I do not want to see. It feels like a commercial not a social platform. I hate this algorithm.,NEGATIVO
