content,score
I've been using Instagram for years and honestly I'm so over the algorithm changes it's making my content disappear before it even gets a chance to get seen anymore feels like they're trying to drive more ads revenue than user engagement,NEGATIVO
"I've been using Instagram for years and it's become such a chore to deal with all these ads I just want to see some of my friends posts without being bombarded by ""shop now"" buttons everywhere",NEGATIVO
I'm so over Instagram's algorithm changes every few months I followed a great account for years but now their posts are buried under an endless feed of shopping ads and irrelevant challenges that nobody has time to keep up with honestly feeling like I'm just throwing money at them by buying stuff from brands they're pushing,NEGATIVO
I was really loving the new Instagram redesign until I saw how they're making money off of people's private lives with those creepy ads that keep popping up on my feed. It feels like they're selling out to big brands and compromising our experience for views and likes.,NEGATIVO
I've been an Instagram user for years and honestly I'm so over the algorithm changes they keep making it's like trying to find your way out of a maze every time you try to post something new,NEGATIVO
I've been using Instagram for years and I'm so frustrated with the constant changes to the algorithm it's impossible to get my posts seen by anyone outside of my friends and family anymore,NEGATIVO
I'm so disappointed with Instagram's new algorithm it completely changed my experience of using the app now I have to scroll through hours of ads before I even see a post from someone I actually care about and honestly I think they're prioritizing ad revenue over user engagement which is just not what I signed up for when I downloaded the app,NEGATIVO
I've been using Instagram for years and I'm so frustrated with the constant algorithm changes that always seem to work against my account's visibility. It feels like they're trying to drive me crazy with these unpredictable boosts and drops that make no sense whatsoever. Can't they just make up their minds already?!,NEGATIVO
I've been using Instagram for years and recently the algorithm changes have completely ruined my experience. Now I'm seeing so many ads that it's like the app is breaking down on me every time I open it. The notifications are all about promoting some new Reels creator or another it feels like they're paying people to promote their content,NEGATIVO
I'm so frustrated with Instagram's new algorithm I was a regular user for years and now my feed is full of ads and sponsored content I feel like I'm not even using the app anymore,NEGATIVO
I've been using Instagram for a few months now and I'm so disappointed with how poorly optimized it is for mobile devices. The app freezes on me all the time and I have to force close it multiple times a day. The ads are also super annoying and can't be skipped easily. It feels like they're trying to nickel and dime me out of my money by forcing me to watch these obnoxious commercials every single time I open the app,NEGATIVO
"I've been using Instagram for years and I'm so disappointed with the recent updates they keep adding features that are supposed to be ""enhancements"" but really just make the app more cluttered and annoying. The new notifications system is a complete disaster - it's always popping up in the middle of videos or live streams which is super frustrating. And don't even get me started on the ""new"" feature where you can only see stories from accounts you follow. What's the point of that?! I feel like they're trying to nickel and dime me every single day with ads and sponsored content everywhere. I just want to post a simple photo without being bombarded with sales pitches!",NEGATIVO
I was really enjoying the features on Instagram until they changed the layout and now everything feels crammed together making it hard to even see posts let alone scroll through my feed like I used to,NEGATIVO
"I've been using Instagram for years and it's slowly turning into a complete mess. They keep changing the algorithm and now my feed is filled with ads and sponsored content that I don't even want to see. The app itself is so slow and clunky it makes me want to pull my hair out. And don't even get me started on the ""infinite scroll"" feature which is just a recipe for addiction and eye strain",NEGATIVO
I was using Instagram for years and now its just a money making machine they keep adding new features that make it harder to have real conversations with friends on the app,NEGATIVO
I've been using Instagram for years and honestly I'm so tired of the algorithm ruining my feed. It keeps pushing the same accounts and content at me over and over again instead of showing me what's new and interesting. Can't they just mix it up a bit?,NEGATIVO
Instagram is such a time suck I swear I've wasted hours scrolling through my feed and I still don't know who's behind all these fake accounts,NEGATIVO
I'm so tired of Instagram's constant algorithm changes they ruined my followers count and now I have to constantly post just to stay relevant its like they dont even care about user experience anymore,NEGATIVO
I've been using Instagram for years but recently it's just become too much for me the ads are getting so targeted and annoying I feel like they're following me everywhere even when I'm not on the app which is really creepy,NEGATIVO
I'm so tired of seeing ads everywhere on my feed its really disrupting my experience and making it feel like I'm just scrolling through a never-ending stream of sales pitches can't they give me a choice to see more content from accounts I actually care about?,NEGATIVO
