content,score
This app has become so slow and buggy lately.  I miss how simple Instagram used to be.  It's frustrating having constant crashes and glitches.,NEGATIVO
"This app has become so frustrating.  The algorithm is out of control - my feed is nothing but ads and irrelevant content.  I'm constantly deleting old posts just to get a semblance of quality, even though I never post anything anymore.",NEGATIVO
"This app has become so bloated and laggy!  I used to love scrolling through stories, but now every single post takes forever to load. And the quality is terrible. 😩",NEGATIVO
"This app is so glitchy! I keep losing photos and can't even figure out how to go back! 🙄 And why does my feed always have ads? Just let me enjoy some beautiful pictures, you guys.",NEGATIVO
"This app is a joke!  It's slow, glitchy, and constantly crashes. Seriously disappointed - I don't know why they haven't fixed this mess yet.",NEGATIVO
"This app used to be so much fun! Now it's just a constant stream of filters and curated feeds making me feel worse about myself.  I miss the simplicity of sharing photos with actual friends, not influencers.",NEGATIVO
"This app is honestly so frustrating.  It's like trying to get a good photo on an old flip phone - everything feels glitchy and slow!  No longer enjoying Instagram, might switch back to Pinterest or TikTok... they are way more smooth.",NEGATIVO
This app used to be so much fun! Now it's just filled with annoying filters and people trying too hard to look perfect.  I miss the simple days of posting pics for no reason and connecting with friends.,NEGATIVO
This app used to be fun but lately it feels so buggy.  The filters are glitching and my photos don't post half the time!,NEGATIVO
This app is constantly glitching and deleting photos!  Seriously disappointed with how often this happens. The algorithm is also getting worse and my feed feels more chaotic than helpful.,NEGATIVO
Instagram has become so obsessed with reels that real life content is barely seen anymore.  It's all about fleeting trends and filtered lives. Such a shame.,NEGATIVO
This app has become a complete waste of time.  I literally spend hours scrolling and still nothing new pops up.  It's just the same recycled content over and over!,NEGATIVO
"This app is just a whole mess lately!  The filters keep crashing and my pictures are always getting cropped out of proportion. The algorithm feels so random, I don't even know what makes it choose to show me certain content anymore. It's like everything is just going downhill.",NEGATIVO
"This app is seriously glitching lately.  Every time I try to upload something, it just freezes and crashes! 🙄 Unusable 😩  They really need to fix this ASAP.",NEGATIVO
"This app is so frustrating!  Every time I try to post something, there are glitches and it takes forever. The feed feels cluttered too.  I wish Instagram would just focus on improving the basic functions instead of trying to add unnecessary features.",NEGATIVO
"This app is driving me crazy! Constantly freezing and crashing. The ""enhance"" feature is a joke; nothing looks better than what my feed already displays.  Plus, I can't stop seeing ads popping up everywhere, making it feel like an advertisement platform disguised as a social network.",NEGATIVO
Instagram is constantly glitching and crashing. The updates are annoying and slow down my feed.  It's frustrating to spend time on the app just for it to disappear.,NEGATIVO
"Honestly, this app has been a nightmare. It crashes constantly, my feed is flooded with the same unoriginal content, and trying to even contact customer service feels like pulling teeth.  So disappointed!",NEGATIVO
"This app has become so buggy lately.  It's frustrating trying to post and stories are constantly freezing up.  Honestly, I need a new social media platform, this one is just not worth the hassle anymore.",NEGATIVO
"This app is so glitchy lately!  It takes forever to load and photos keep disappearing. Don't know what's going on, but super frustrating.",NEGATIVO
