content,score
The algorithm is completely broken I keep seeing irrelevant stuff all the time.,NEGATIVO
The algorithm is completely broken I see nothing interesting anymore.,NEGATIVO
The algorithm is broken and the feed is full of junk now,NEGATIVO
The algorithm is completely broken now. My feed shows totally irrelevant content.,NEGATIVO
The constant updates make Instagram unusable. It is too slow and keeps crashing.,NEGATIVO
This app is completely saturated with sponsored content and the experience is just annoying.,NEGATIVO
The algorithm is completely broken now.,NEGATIVO
This app is just full of annoying ads everywhere.,NEGATIVO
This app is constantly broken and annoying. The algorithm shows me garbage content. I see irrelevant ads everywhere. The navigation is confusing and frustrating to use. I hate the new updates they keep pushing.,NEGATIVO
This new update broke everything I can't post my stories are constantly failing to load and the feed is loading so slowly it is unusable my Instagram app is completely broken please fix this immediately,NEGATIVO
The feed is completely broken and the algorithm only shows me garbage content now.,NEGATIVO
this app is completely broken i cannot scroll the feed properly the algorithm is so messed up it shows me nothing i keep getting irrelevant ads and the constant bugs make it impossible to use it properly i spent hours trying to post a story and it keeps crashing the whole thing is a joke and i am so frustrated i want to delete it right now,NEGATIVO
The constant push for Reels is really annoying it just makes the whole experience feel cluttered and overwhelming now,NEGATIVO
The constant pop-up ads are extremely disruptive and slow down the entire viewing experience,NEGATIVO
The algorithm is completely broken my feed is full of irrelevant content.,NEGATIVO
the new updates make the app so frustrating to use the feed algorithm is terrible and it loads pictures very slowly,NEGATIVO
This feed algorithm is completely broken. I used to see my friends content now I see random ads that have nothing to do with me. It feels like they are trying to trick me into clicking everything. I just want to see photos not sales pitches. I am so annoyed with these constant interruptions.,NEGATIVO
The constant push for ads ruins the experience.,NEGATIVO
This app is so frustrating the algorithm constantly shows me irrelevant content and the ads are completely overwhelming I wish they would fix the feed system,NEGATIVO
The algorithm is completely broken it shows me garbage content all the time.,NEGATIVO
the constant push for ads is incredibly annoying and makes the experience frustrating,NEGATIVO
My Instagram app keeps crashing every time I try to upload a video this is completely unacceptable I am losing all my work and I need immediate technical support please fix this bug now,NEGATIVO
This app is completely broken the algorithm constantly changes and the ads are too aggressive I just want a simple photo sharing place not this constant bombardment of commercials,NEGATIVO
The constant stream of ads makes the app unusable now.,NEGATIVO
The constant bugs make the app unusable.,NEGATIVO
Instagram keeps crashing every time I try to open the camera,NEGATIVO
The algorithm is completely broken now. My feed shows nothing I actually want to see.,NEGATIVO
the algorithm is so broken it hides the content i want to see it is completely useless now,NEGATIVO
The constant ads are annoying and I hate how intrusive the algorithm is.,NEGATIVO
This app is completely broken. The algorithm is designed to make us miserable. It constantly pushes content that is not relevant to me. I hate the constant pressure to perform and the endless ads that ruin the experience. It feels like a poorly managed toxic environment.,NEGATIVO
The algorithm pushes so much garbage content I cannot scroll anymore,NEGATIVO
This app is completely broken lately. The algorithm just pushes garbage content my feed is full of. I hate how they try to force ads on every single scroll. It is so frustrating and annoying.,NEGATIVO
The constant ads are incredibly disruptive to the experience.,NEGATIVO
This app is constantly changing and it is incredibly frustrating to navigate the new interface.,NEGATIVO
The app keeps crashing constantly it is unusable,NEGATIVO
This app is completely broken lately. The feed algorithm is totally messed up showing me irrelevant content constantly. Every time I try to post something there are endless glitches and crashes. I hate the constant spam notifications it ruins the experience. It feels like they only care about profit not user experience.,NEGATIVO
The algorithm is completely broken and frustrating to use.,NEGATIVO
The feed is full of garbage ads and the algorithm is completely broken,NEGATIVO
This app is designed to ruin your attention span and push toxic content constantly,NEGATIVO
The new algorithm is terrible it hides my content and I cannot see anything anymore the ads are completely overwhelming and annoying,NEGATIVO
this app is broken and constantly annoying i hate the new feed algorithm it only shows me garbage content now,NEGATIVO
The feed algorithm is completely broken now it shows me nothing interesting.,NEGATIVO
The new updates make the app unusable. Everything is slow and frustrating.,NEGATIVO
Too many ads I cannot watch this anymore,NEGATIVO
The constant ads are incredibly annoying. They ruin the experience and make me want to delete the app.,NEGATIVO
This app is completely broken the feed algorithm is making no sense and the constant bugs are infuriating I cannot use Instagram anymore,NEGATIVO
The new algorithm is absolutely terrible it shows me irrelevant content constantly and the interface keeps crashing on my phone I cannot use the app anymore,NEGATIVO
this app is a total scam it makes me feel so inadequate and anxious all the time the algorithm just pushes awful content and it is seriously addictive,NEGATIVO
The new algorithm is completely broken I see irrelevant stuff all the time and it drives me crazy,NEGATIVO
The algorithm is completely broken and my feed is useless.,NEGATIVO
the new story layout is impossible to navigate it keeps changing and i miss the old format,NEGATIVO
The algorithm is so broken it only shows me content I already saw.,NEGATIVO
This app is completely broken and the algorithm is terrible.,NEGATIVO
the new feed algorithm is absolutely broken i see nothing anymore it is so frustrating,NEGATIVO
The new update broke everything. The interface is completely confusing and frustrating to use. I spend too much time trying to find simple features.,NEGATIVO
the new update broke everything it is so frustrating to use the app now,NEGATIVO
The new update is terrible it constantly changes the layout and I cannot find anything anymore it is completely unusable,NEGATIVO
Instagram keeps crashing all the time I cannot post anything and the feed is so slow it is unusable,NEGATIVO
The new feed algorithm is completely broken it stops showing content I actually like and I am so annoyed by the constant irrelevant posts,NEGATIVO
The new feed algorithm is completely broken. I used to see my friends posts now I see random stuff that makes no sense. It feels like they are punishing me for posting actual content. This is just annoying and completely ruins the experience.,NEGATIVO
The algorithm is completely broken and I get terrible content constantly.,NEGATIVO
This app is completely broken and the algorithm is ruining my feed,NEGATIVO
This app is completely overwhelming now. The constant ads are impossible to ignore and it ruins the whole experience.,NEGATIVO
This app is completely broken the feed algorithm is useless and it constantly crashes I hate using it,NEGATIVO
This app is pure garbage the algorithm is broken and it constantly pushes irrelevant content I hate the forced engagement tactics you ruin the experience for everyone.,NEGATIVO
this app is constantly crashing and the new update broke everything i cannot upload my stories the bugs are impossible to fix and customer service is completely useless,NEGATIVO
The constant changes to the interface are maddening. It feels like they are trying to hide important features just to make money.,NEGATIVO
The new updates are terrible. The navigation is completely broken and the constant ads are driving me crazy. This app is just frustrating and poorly designed.,NEGATIVO
This new feed is full of ads I hate and the algorithm just pushes garbage content now it makes no sense,NEGATIVO
the new feed algorithm is terrible and the ads are too annoying,NEGATIVO
This app is just too much noise and I hate the constant pressure to be perfect,NEGATIVO
This app is completely broken lately. Every time I open it the feed loads incredibly slowly and the notifications are completely messed up. I cannot find my messages or stories easily. It feels like Instagram is intentionally frustrating users. I am so annoyed with these constant bugs. I hate this update. I am deleting the app immediately.,NEGATIVO
The algorithm is broken and I see nothing worth watching anymore,NEGATIVO
This app keeps crashing constantly I cannot use it anymore It is so buggy and frustrating,NEGATIVO
The new interface is so confusing. I just want to scroll but it keeps pushing me to watch ads. It is seriously annoying and ruins the experience.,NEGATIVO
This app is constantly changing the interface. It is so confusing and frustrating to navigate now.,NEGATIVO
This app is constantly buggy and the interface keeps changing without warning. I hate the new layout it is confusing and frustrating to use.,NEGATIVO
This new update is completely broken I cannot see my stories anymore the feed is glitching all the time I am so annoyed,NEGATIVO
The new story filters are constantly glitching and making my videos look terrible.,NEGATIVO
The algorithm pushes terrible content constantly it is impossible to find anything good anymore,NEGATIVO
The ad placement is absolutely infuriating and constantly interrupts my scrolling experience,NEGATIVO
The new feed algorithm is terrible it shows me completely irrelevant content now please fix it,NEGATIVO
This app is constantly buggy and the feed algorithm is completely broken.,NEGATIVO
the ads are too annoying and the feed is full of garbage i hate this app,NEGATIVO
This app is completely broken and I am so frustrated,NEGATIVO
This update is terrible Instagram is constantly changing the feed for no reason. I hate the new algorithm it just shows irrelevant stuff.,NEGATIVO
The algorithm is completely broken it hides all my relevant posts.,NEGATIVO
The algorithm is completely broken now. I see totally irrelevant stuff all the time. It is so annoying and wastes my time.,NEGATIVO
The constant algorithm changes make the feed impossible to navigate.,NEGATIVO
The story feature keeps crashing on my phone it is completely unusable.,NEGATIVO
This app is so buggy and slow. I cannot load my photos properly. It is extremely frustrating to use now.,NEGATIVO
This app is so annoying the algorithm just shows me garbage all the time,NEGATIVO
This app is constantly pushing ads I hate.,NEGATIVO
The app keeps crashing when I try to upload photos it is completely unusable,NEGATIVO
The constant push for ads is driving me away from the app. It feels like they prioritize revenue over a good experience.,NEGATIVO
This update is terrible the feed algorithm is completely broken and it shows irrelevant content.,NEGATIVO
The algorithm is completely broken I see zero relevant posts anymore it just shows me random garbage and it is driving me away from the app,NEGATIVO
The constant push notifications are so annoying I wish they would stop showing me irrelevant stuff,NEGATIVO
The algorithm is broken. I used to enjoy scrolling now it just feels like a waste of time.,NEGATIVO
This app is completely broken the algorithm pushes garbage content constantly I hate the endless scroll and I feel like I am just wasting my time,NEGATIVO
This app is completely broken. The algorithm constantly shows me irrelevant content and pushes ads that are impossible to ignore. It feels like they prioritize monetization over user experience. I hate scrolling through this garbage every single day.,NEGATIVO
The algorithm is completely broken it only shows me annoying content and the ads are too disruptive I cannot use the app anymore,NEGATIVO
The algorithm is completely broken now. My content gets buried and I cannot figure out why.,NEGATIVO
this app is so addictive and constantly makes me feel inadequate,NEGATIVO
The app keeps crashing every time I try to upload a story,NEGATIVO
the algorithm is so annoying it pushes stuff i do not want to see,NEGATIVO
The algorithm is completely broken and it shows me nothing I actually want to see.,NEGATIVO
This app is getting so annoying the algorithm shows me garbage content all the time.,NEGATIVO
this app is completely broken. the loading times are terrible and it crashes constantly. the new updates make navigating impossible. i hate this experience.,NEGATIVO
the constant ads are incredibly annoying and ruin the whole experience,NEGATIVO
This app is completely broken. The algorithm pushes terrible content that I do not want to see. It is constantly interrupting my feed with ads. I hate the constant pressure to post and engage. It feels manipulative and exhausting.,NEGATIVO
The algorithm is completely broken and the ads are unbearable,NEGATIVO
This app is completely broken the algorithm just shows me garbage content I hate seeing these irrelevant posts all the time it feels like they are deliberately trying to annoy me,NEGATIVO
This app is constantly pushing irrelevant content I hate seeing ads everywhere.,NEGATIVO
The new updates are completely broken I cannot find my old photos anymore this is unacceptable,NEGATIVO
The algorithm is broken now. It shows me terrible content and nothing interesting.,NEGATIVO
The new updates make the app completely unusable it crashes constantly.,NEGATIVO
this app is so annoying the constant ads ruin the whole experience i hate having to scroll past those things just to see my friends,NEGATIVO
The new updates are just bad. My feed is full of spam and irrelevant stuff. I hate the new algorithm it makes the app unusable.,NEGATIVO
This app is so toxic and addictive the algorithm just pushes the worst content at me constantly,NEGATIVO
