content,score
Got a new update and now my feed is literally filled with ads they're suffocating the content I used to love this app for staying connected with friends but now it's just a never-ending stream of ads can't believe the direction Instagram took,NEGATIVO
I'm so over Instagram's constant algorithm changes it feels like they're intentionally making it harder for me to reach my friends and family who I want to see posts from not sure what I'd do without a decent alternative,NEGATIVO
I'm so sick of Instagram's algorithm constantly showing me my exes old posts just to rub it in my face every time I open the app feels like they're trying to torture me with their happiness and success,NEGATIVO
I'm so over Instagram's algorithm that prioritizes likes over content quality. My feed is now filled with ads and low-effort posts from people I used to actually care about sharing their lives with. It feels like a never-ending cycle of curated perfection where authenticity goes out the window. Can't we just go back to having real conversations and genuine connections instead of being fed a steady diet of shallow content?,NEGATIVO
I'm so tired of seeing ads on my feed I download the app just to post a few photos and yet I get bombarded with sponsored content all day long It's like they're sucking every last penny out of me!,NEGATIVO
I'm so over how Instagram is constantly changing its algorithm to favor fake accounts and obscure my genuine friends from my feed! Every time I try to have a real conversation with someone on the app I get bombarded with ads and irrelevant content. It's like they're trying to suck the life out of the app itself.,NEGATIVO
I'm so frustrated with Instagram's new algorithm changes I used to love discovering new accounts but now it feels like they're just pushing the same influencers at me over and over again where are the Discover pages from last year?!,NEGATIVO
I've been using Instagram for years and honestly its getting old the algorithm is so biased towards creators who buy ads you never see any good content from real accounts anymore everything looks like a manipulated selfie with 1000 likes,NEGATIVO
I was so excited to try out Instagram's new features but every time I post something my followers stop engaging with me and then I'm stuck with these annoying ads that I cant even remove they took away the things that made this app fun for me now its just a waste of space,NEGATIVO
Have been using Instagram for years and honestly can't believe how cluttered the interface has become. The constant stream of ads is so annoying and it's like they're sucking the life out of the app. I'm starting to think I'll just switch to TikTok because at least their feed doesn't feel like a digital dumpster fire,NEGATIVO
"I'm so over how Instagram is constantly pushing notifications to keep me on the app I just want to post a picture without being bombarded with ""you've got a new follower"" alerts every 5 seconds",NEGATIVO
"I've been using Instagram for years and I'm so over the constant algorithm changes that ruin my followers' engagement counts. Now they're telling me to ""go viral"" like it's some kind of magic trick I can force rather than actually creating good content that resonates with people. It's just a bunch of noise and I'm tired of feeling pressured into posting something that's only going to get 10 likes from my aunt.",NEGATIVO
I've been using Instagram for years and I'm so over the algorithm changes they keep making It feels like they're just trying to squeeze more ads into my feed and make me watch more videos that aren't even interesting anymore The discover page is basically useless now and I just end up seeing the same old accounts over and over again I uninstalled it for a week and went back to only following people I actually care about but of course they had to change the UI to make it harder to use so now I'm stuck using Instagram again,NEGATIVO
I'm so sick of Instagram's algorithm changes they keep pushing content I don't want to see into my feed and it's really frustrating because I feel like I'm seeing ads more than actual friend updates which is why I'm considering deleting the app,NEGATIVO
I'm so over how Instagram is constantly pushing ads into my feed I just want to see content from people I follow without all that clutter Can't they just let us decide what we want to see?,NEGATIVO
"I've been using Instagram for years and I'm so over how they're constantly changing the algorithm to favor ""influencers"" over real people. Now my friends posts are buried under a sea of ads and sponsored content. It's like they don't even care about keeping the app user friendly anymore",NEGATIVO
"I'm so over how Instagram is always pushing me to buy stuff I don't need with their ""sponsored"" posts it's like they're trying to ruin the whole experience of using an app that's supposed to be about sharing moments from my life not peddling consumer crap.",NEGATIVO
Absolutely hate the new algorithm Instagram has implemented I was a daily user for years and now my posts are barely getting any views due to fake accounts and bots I've tried reporting them but nothing seems to be done about it anymore this is why I'm deleting the app,NEGATIVO
I'm so tired of Instagram's algorithm always pushing me to buy more stuff I don't need! It's like they're trying to make me feel bad about myself just to sell me something. Every time I try to have a peaceful evening scrolling through my feed I get hit with ads for clothes and jewelry that are way out of my budget. It's so frustrating,NEGATIVO
I'm so over how often my Instagram gets stuck on loading and I have to wait 3 minutes for it to finally load which is ridiculous considering they have all that storage space on their servers and can afford to pay their employees decent wages.,NEGATIVO
