reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4
931571b9-ccd0-4049-bfe5-19d19080e049,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Riyadh, Saudi Arabia",2017-03-31,NEGATIVO,0,0.8769846,0.033239372,0.024525702,0.03953454,0.025715725
d9f8b698-68fb-4013-ab28-95695d5c6cb9,One issue is that it feels very addictive. It gets frustrating after a while.,male,"Paris, France",2016-10-19,NEGATIVO,3,0.030513475,0.040736463,0.030055994,0.86717844,0.031515628
063b6a2e-6639-4750-a6b6-8b9ed3720354,One issue is that i keep seeing the same trends repeatedly.,male,"Monterrey, Mexico",2018-01-12,NEGATIVO,2,0.030330865,0.040281124,0.8498814,0.048182607,0.031324003
60de1337-b29b-456f-ab26-3d4aae474682,The main problem is that some videos get views randomly while others don’t. It makes it harder to stay focused.,male,"Lima, Peru",2018-10-04,NEGATIVO,3,0.023189569,0.030845122,0.022842096,0.89916676,0.023956437
ed0f242d-bb9b-4b4d-b7fa-a097290b16a2,"So far, the comment sections can be very toxic. It becomes overwhelming.",male,"Johannesburg, South Africa",2017-11-29,NEGATIVO,4,0.030630965,0.040846556,0.030121103,0.31304613,0.5853553
ad71201f-3b9a-4ffb-9a10-d6b9d0190ea1,"For me, i’m concerned about data privacy. It makes it harder to stay focused.",male,"Seattle, United States",2018-02-04,NEGATIVO,1,0.028191267,0.4708629,0.027767634,0.44405472,0.02912346
15aa7c54-6f2c-495d-a0ee-f22bcdc14ab6,"In my experience, there are too many ads and promotions. It becomes overwhelming.",male,"Marseille, France",2016-10-12,NEGATIVO,2,0.030564634,0.040678214,0.84880614,0.04839942,0.03155152
1a881d1e-69d5-4092-bfaf-55c331b54e4d,One issue is that it’s hard to focus after using it. It becomes overwhelming.,male,"Denver, United States",2018-02-06,NEGATIVO,0,0.8595353,0.03801327,0.027986992,0.045121476,0.029342962
edfe2679-86c8-4b1f-bb8f-04b5761a8d83,"So far, there’s too much content to keep up with.",female,"Gold Coast, Australia",2019-05-12,NEGATIVO,3,0.036447708,0.04850839,0.03591112,0.84147936,0.037653413
41d53a61-724e-41bd-92f7-30a1aa8a10fe,One issue is that content quality varies a lot. It makes it harder to stay focused.,male,"Quito, Ecuador",2019-02-09,NEGATIVO,3,0.024169328,0.032115363,0.023806194,0.89494294,0.024966108
85cd6f4c-9c35-4979-aa6f-e0808bd1cd75,One issue is that i lose track of time scrolling on TikTok. That part could definitely be improved.,male,"Brasília, Brazil",2018-10-09,NEGATIVO,0,0.62877774,0.28775764,0.022834478,0.036683973,0.023946183
28d56d41-88d5-4f6d-87aa-82a36164c757,"Honestly, it feels very addictive. It makes the experience less enjoyable.",male,"Lyon, France",2017-01-18,NEGATIVO,3,0.028626207,0.038484227,0.028190894,0.87514204,0.02955665
7e73cb6a-9fe3-46b0-903b-dacbb3f67207,"I wanted to like it, but i keep seeing the same trends repeatedly. That part could definitely be improved.",female,"Canberra, Australia",2019-03-25,NEGATIVO,1,0.02416397,0.51851994,0.3942773,0.03807643,0.02496245
8e7334b0-fb1b-43ad-ac37-e2ff2499068d,What bothers me is that some videos get views randomly while others don’t. It gets frustrating after a while.,male,"Port Moresby, Papua New Guinea",2019-02-15,NEGATIVO,3,0.027660584,0.036796823,0.027248045,0.8797164,0.028578097
4c3c6bbe-6bb9-48ce-b414-d567f2e0e4f4,"Honestly, the comment sections can be very toxic.",male,"Singapore, Singapore",2017-03-16,NEGATIVO,4,0.036355563,0.048334032,0.03581392,0.05808368,0.8214128
35e646af-b390-4f7f-b7b7-0c02239594e0,What bothers me is that i’m concerned about data privacy. It gets frustrating after a while.,male,"Ottawa, Canada",2018-07-02,NEGATIVO,1,0.030611936,0.85857755,0.030158782,0.04902868,0.03162309
7b1bfc57-8403-4466-8606-067ce4bdce3c,"Personally, there are too many ads and promotions. It ends up feeling repetitive.",male,"Barcelona, Spain",2016-10-20,NEGATIVO,2,0.028422607,0.037840035,0.8592059,0.045172967,0.029358486
ea4bc28f-7465-4964-b556-7eae35c41756,"Honestly, it’s hard to focus after using it. It makes the experience less enjoyable.",male,"Madrid, Spain",2017-01-26,NEGATIVO,1,0.026834287,0.87605095,0.0266646,0.042745076,0.027705116
a1cd67bd-24e1-44c4-b058-d7581b932e65,"Honestly, there’s too much content to keep up with. It makes the experience less enjoyable.",male,"Dar es Salaam, Tanzania",2017-08-16,NEGATIVO,3,0.026949935,0.035971474,0.026544534,0.8827056,0.027828395
6cf86a3a-f102-4384-aba6-00529c40ae90,"Honestly, content quality varies a lot. It makes it harder to stay focused.",male,"Beijing, China",2017-03-09,NEGATIVO,3,0.025305286,0.03363621,0.024926191,0.88998806,0.026144335
457e935a-7eae-4b20-993d-8e4f02577fa3,"In my experience, i lose track of time scrolling on TikTok.",male,"Asunción, Paraguay",2018-11-08,NEGATIVO,0,0.8505159,0.04037643,0.029909419,0.047826596,0.031371698
ab6ba209-c743-4ae0-b129-0ecfbebbbd82,"I wanted to like it, but it feels very addictive. That part could definitely be improved.",male,"Córdoba, Argentina",2019-01-07,NEGATIVO,1,0.026757635,0.8770346,0.026351273,0.04221407,0.027642434
bdea9b31-fe6f-4d0d-ae7b-e786a1d05e7e,What bothers me is that i keep seeing the same trends repeatedly. It becomes overwhelming.,male,"Windhoek, Namibia",2017-09-14,NEGATIVO,2,0.029265763,0.0389116,0.8552416,0.046366557,0.030214442
bf107c0b-086c-4dd9-b0b1-1ce8f1af6831,The main problem is that some videos get views randomly while others don’t. It makes the app hard to control.,male,"Accra, Ghana",2017-08-19,NEGATIVO,3,0.023233477,0.031028649,0.022892201,0.89884245,0.024003323
78e5ba6d-fee2-4526-850d-fde3b13e5b39,One issue is that the comment sections can be very toxic. It makes the app hard to control.,male,"Dublin, Ireland",2017-01-21,NEGATIVO,3,0.025357958,0.033860687,0.024986226,0.8895701,0.026224947
f338f8c6-0b8f-49d1-857e-2271daaf80dd,"For me, i’m concerned about data privacy.",male,"Stockholm, Sweden",2016-12-24,NEGATIVO,1,0.04100556,0.8117642,0.04039035,0.0644752,0.04236479
922ee845-c386-491f-8848-d71be8573c25,"So far, there are too many ads and promotions. It gets frustrating after a while.",male,"Caracas, Venezuela",2018-09-22,NEGATIVO,2,0.030717833,0.15444295,0.7339481,0.049159825,0.03173132
019cf643-3af9-42d7-b61f-cb5b02b3d1c5,"In my experience, it’s hard to focus after using it. It becomes overwhelming.",male,"Phoenix, United States",2018-05-30,NEGATIVO,0,0.84877944,0.041272864,0.030098882,0.048286054,0.031562798
33ed148b-969e-4049-a65d-9138c49c183c,"For me, there’s too much content to keep up with. It becomes overwhelming.",male,"Rome, Italy",2016-11-25,NEGATIVO,3,0.03315055,0.044057608,0.03263862,0.8559337,0.034219414
979cbaf1-9a1b-4602-a238-88fc0e14c8c7,"For me, content quality varies a lot. It makes it harder to stay focused.",male,"Dallas, United States",2018-01-29,NEGATIVO,3,0.026558425,0.035299044,0.02615989,0.88454485,0.027437788
65564a7a-5655-4781-ac1e-806d48d99a6b,"So far, i lose track of time scrolling on TikTok. It makes the app hard to control.",male,"Dakar, Senegal",2017-11-11,NEGATIVO,0,0.879914,0.032472312,0.023890391,0.038682286,0.025040988
97557104-0201-4fdd-9d19-8bc72fa6e043,One issue is that it feels very addictive. It becomes overwhelming.,male,"Asunción, Paraguay",2019-02-06,NEGATIVO,3,0.03049615,0.040806558,0.03002247,0.8671969,0.0314779
f57bfaea-95cf-4911-97b7-5558535e7c38,"In my experience, i keep seeing the same trends repeatedly. It makes the app hard to control.",male,"Bogotá, Colombia",2018-09-27,NEGATIVO,2,0.0254594,0.033960633,0.8739417,0.040337045,0.026301265
ddb494a7-119c-40a1-b2b2-0da5b7644d09,"So far, some videos get views randomly while others don’t.",male,"Ottawa, Canada",2018-06-02,NEGATIVO,3,0.030435337,0.04049461,0.029978376,0.86764556,0.031446096
77434af6-d68a-4202-ab17-3628ef9aaafa,"I wanted to like it, but the comment sections can be very toxic. It gets frustrating after a while.",male,"Houston, United States",2018-04-12,NEGATIVO,4,0.02855833,0.03870868,0.028122466,0.04740886,0.85720164
7d892b9a-9cb6-4995-b01e-46371edaa432,"For me, i’m concerned about data privacy.",female,"Christchurch, New Zealand",2019-05-20,NEGATIVO,1,0.041005563,0.8117642,0.040390354,0.064475216,0.042364795
5ab10398-67cb-4e0a-add7-c0d84e9a88f1,"I wanted to like it, but there are too many ads and promotions. It makes it harder to stay focused.",female,"Canberra, Australia",2019-06-27,NEGATIVO,3,0.025377106,0.21630412,0.34927866,0.38282984,0.02621024
0fda73c0-5c6a-484b-93c7-f743b411a528,One issue is that it’s hard to focus after using it. It gets frustrating after a while.,male,"Dar es Salaam, Tanzania",2017-09-07,NEGATIVO,0,0.8580825,0.038366884,0.028103651,0.04598406,0.029462995
882c42b8-8c7b-49a5-b5cb-92291b1fb5cc,"So far, there’s too much content to keep up with.",male,"Taipei, Taiwan",2017-05-31,NEGATIVO,3,0.036447708,0.048508618,0.035911046,0.8414792,0.037653413
b23f4519-792d-430e-af43-f112860e9e3b,"I wanted to like it, but content quality varies a lot. It ends up feeling repetitive.",male,"Rosario, Argentina",2018-12-16,NEGATIVO,3,0.025422031,0.034101043,0.025029188,0.8891926,0.026255146
44a99432-8963-45f2-896b-b38f553baf75,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Hamburg, Germany",2016-12-03,NEGATIVO,0,0.87698674,0.03323418,0.02452571,0.039537586,0.025715731
02d6d035-6b1e-447e-8612-3b5b785af90f,"I wanted to like it, but it feels very addictive. It makes the app hard to control.",male,"Pretoria, South Africa",2017-10-04,NEGATIVO,1,0.026808864,0.8763812,0.026411667,0.042697288,0.02770092
161c323d-990e-4c5b-9cbc-dc99d7f2a7e6,What bothers me is that i keep seeing the same trends repeatedly. It ends up feeling repetitive.,male,"Oslo, Norway",2016-12-09,NEGATIVO,2,0.02672058,0.035556648,0.86767757,0.042443573,0.02760159
bdbdfa5e-c499-47d4-b277-bbb839942174,"In my experience, some videos get views randomly while others don’t. It makes the experience less enjoyable.",male,"Windhoek, Namibia",2017-08-19,NEGATIVO,3,0.024981754,0.033326983,0.024602484,0.8912906,0.025798135
2b8afa7b-01e4-46e0-8b75-ecafe37aed93,I’d say the comment sections can be very toxic. It makes the app hard to control.,male,"Rome, Italy",2016-12-10,NEGATIVO,3,0.026936809,0.03610879,0.026550684,0.5059705,0.40443328
9c005d74-a50d-442d-9af5-3331c74e729a,"Personally, i’m concerned about data privacy. It ends up feeling repetitive.",male,"Busan, South Korea",2017-07-21,NEGATIVO,1,0.028514296,0.86799675,0.028108867,0.045932986,0.02944721
6fa65136-22dd-48d7-b2b8-2263df183ff5,One issue is that there are too many ads and promotions. It makes it harder to stay focused.,male,"Córdoba, Argentina",2018-12-09,NEGATIVO,2,0.025327742,0.03365714,0.49338716,0.42146784,0.026160175
33eeaaa7-10ba-4115-8a87-b6ecddddc1a6,"So far, it’s hard to focus after using it. It makes the app hard to control.",female,"Perth, Australia",2019-04-05,NEGATIVO,1,0.027756855,0.8722102,0.02734255,0.044018243,0.028672108
6c2c4ebf-0bb1-4614-9e2c-7c62b249c1ab,The main problem is that there’s too much content to keep up with. It ends up feeling repetitive.,male,"Caracas, Venezuela",2018-12-12,NEGATIVO,3,0.027474724,0.03658789,0.027075415,0.88048476,0.02837721
267f4d10-8e9f-41ac-8fd4-1d9b58b0323d,"Personally, content quality varies a lot. That part could definitely be improved.",male,"Montreal, Canada",2018-04-22,NEGATIVO,1,0.025417797,0.52475107,0.025036644,0.3985359,0.026258646
b226a0c5-a9e0-4a3f-8dea-a35a8acf67d8,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Los Angeles, United States",2018-06-16,NEGATIVO,0,0.87700486,0.033229183,0.024525696,0.03952447,0.02571573
d82ac48b-aeeb-4d68-b779-11f9facf10fa,One issue is that it feels very addictive. That part could definitely be improved.,male,"Alexandria, Egypt",2017-10-01,NEGATIVO,1,0.026779467,0.61345035,0.026374701,0.30574727,0.027648209
325d8b22-d453-42b8-bfd6-190460cab902,What bothers me is that i keep seeing the same trends repeatedly. It makes the app hard to control.,male,"Jakarta, Indonesia",2017-03-20,NEGATIVO,2,0.025406007,0.033878714,0.87421983,0.04024801,0.026247451
3e049cb4-0a36-4a8e-bb99-518419cc4f6b,One issue is that some videos get views randomly while others don’t.,male,"Algiers, Algeria",2017-12-16,NEGATIVO,3,0.028368182,0.03769437,0.027941817,0.87669027,0.029305387
66ae9296-6d2d-42a6-b1e7-057247e3576a,"In my experience, the comment sections can be very toxic. That part could definitely be improved.",male,"Santiago, Chile",2018-10-12,NEGATIVO,1,0.027339445,0.55167043,0.026927544,0.043779742,0.35028282
d4c9ea1d-76af-41ab-a962-d069f9d15efa,"Honestly, i’m concerned about data privacy. It ends up feeling repetitive.",male,"Dublin, Ireland",2016-12-02,NEGATIVO,1,0.028553573,0.8675858,0.028149065,0.046217807,0.029493803
ad10af9a-52dc-4f3f-9211-89ffec822924,"In my experience, there are too many ads and promotions.",male,"Barcelona, Spain",2016-10-21,NEGATIVO,2,0.036615867,0.048769876,0.81902766,0.057764072,0.037822526
e5dd38d1-4d9f-417e-899d-677caf645d9b,I’d say it’s hard to focus after using it. It makes it harder to stay focused.,male,"São Paulo, Brazil",2018-11-20,NEGATIVO,3,0.027350865,0.42762914,0.026922807,0.4898593,0.028237835
462e67e9-22a1-4d35-a042-7e32a8847935,"For me, there’s too much content to keep up with. It makes it harder to stay focused.",male,"Lagos, Nigeria",2017-07-31,NEGATIVO,3,0.028226878,0.03751395,0.027808115,0.877289,0.029161995
1e9acc72-eb37-4b2e-b9db-2313c4b42992,What bothers me is that content quality varies a lot. It makes it harder to stay focused.,male,"Ottawa, Canada",2018-09-10,NEGATIVO,3,0.025368711,0.03372745,0.024989286,0.8897066,0.026207948
ede44f64-ce63-455e-87c9-8df601099047,One issue is that i lose track of time scrolling on TikTok. It makes it harder to stay focused.,male,"Rio de Janeiro, Brazil",2018-10-14,NEGATIVO,0,0.5995453,0.030710105,0.022761798,0.3231116,0.023871142
a8b32423-6e50-442a-ab9d-2da8a78ed354,"For me, it feels very addictive. That part could definitely be improved.",female,"Christchurch, New Zealand",2019-05-03,NEGATIVO,1,0.030331912,0.8605783,0.029876294,0.04787655,0.03133687
536b5e0e-63ce-455d-aab8-858d55307f53,"Personally, i keep seeing the same trends repeatedly. It makes the app hard to control.",male,"Algiers, Algeria",2017-11-09,NEGATIVO,2,0.025432391,0.03392114,0.8740885,0.040283725,0.026274296
8a6917b8-85d8-4323-9d8c-fb7ae799a7ef,I’d say some videos get views randomly while others don’t. It makes it harder to stay focused.,male,"Accra, Ghana",2017-09-28,NEGATIVO,3,0.024119204,0.03205919,0.023758173,0.89514196,0.024921454
74748425-64a7-4ef3-99a5-48071d49acc0,"For me, the comment sections can be very toxic. It makes the experience less enjoyable.",male,"Quito, Ecuador",2018-12-26,NEGATIVO,3,0.028261775,0.037745263,0.027830742,0.8769394,0.02922284
8a6b2df4-7612-429f-9bad-df8afe23fe1d,"I wanted to like it, but i’m concerned about data privacy. That part could definitely be improved.",male,"Buenos Aires, Argentina",2018-11-13,NEGATIVO,1,0.025307646,0.8838147,0.024923807,0.039809212,0.026144661
b35bbf3e-c5ab-4c16-8b81-6c8eb695784d,"I wanted to like it, but there are too many ads and promotions. It makes it harder to stay focused.",male,"Chicago, United States",2018-07-23,NEGATIVO,3,0.025376497,0.21639329,0.34924063,0.38277942,0.02621021
290b7287-d65b-431c-b9ee-df55e4f9ba32,"For me, it’s hard to focus after using it. That part could definitely be improved.",male,"Montevideo, Uruguay",2018-12-31,NEGATIVO,1,0.028354306,0.8698674,0.027919943,0.04457452,0.029283885
