content,score
This app is completely broken the algorithm pushes nothing I want to see and the constant bugs make it impossible to use I am so frustrated with this experience,NEGATIVO
this app is so frustrating the feed algorithm is completely broken and the constant ads ruin the experience i hate scrolling through this mess,NEGATIVO
this app is so slow and the algorithm is completely broken it constantly shows me irrelevant stuff and the interface keeps changing it is extremely frustrating to use.,NEGATIVO
this app is constantly buggy and the feed algorithm is completely broken it feels like they are trying to trick me into watching terrible content the ads are overwhelming and annoying the experience is terrible and frustrating,NEGATIVO
This app is constantly buggy and the feed is absolutely overwhelming I spend too much time scrolling and the ads are completely irrelevant it is genuinely frustrating to use.,NEGATIVO
This app is so frustrating the algorithm constantly shows irrelevant content and the constant ads ruin the whole experience I hate updating it.,NEGATIVO
this app is so annoying the algorithm pushes garbage content and the interface keeps changing it is completely unusable,NEGATIVO
This app is constantly broken and the algorithm is completely broken it shows me nothing I just see garbage.,NEGATIVO
This app is so annoying the algorithm constantly shows me irrelevant stuff and the interface keeps crashing it is completely unusable.,NEGATIVO
This app is constantly buggy and the feed algorithm is completely broken it feels like they only want me to scroll forever and never see anything good,NEGATIVO
This app is constantly buggy and the feed algorithm is completely broken it makes no sense what I want to see.,NEGATIVO
this app is so frustrating the feed algorithm constantly shows irrelevant content and the constant intrusive ads make it impossible to scroll without annoyance,NEGATIVO
This app is so annoying the feed is full of irrelevant stuff. The algorithm just pushes ads and bad content all the time. I hate how constantly it tries to distract me from actual friends. It is seriously broken and frustrating to use.,NEGATIVO
This app is so frustrating the feed algorithm is completely broken and I hate the constant intrusive ads it ruins the whole experience.,NEGATIVO
This app is constantly buggy and the feed algorithm is infuriating I hate the constant push for engagement and the ads are completely overwhelming,NEGATIVO
this app is just overwhelming and the algorithm is completely broken i hate how much time it wastes and the ads are so intrusive it ruins the whole experience i wish they would simplify the interface and stop pushing so much content,NEGATIVO
this app is constantly buggy and the feed algorithm is completely broken it makes no sense what i am even supposed to be seeing it is so frustrating and slow to load,NEGATIVO
this app is so frustrating the algorithm pushes garbage content all the time and the interface keeps changing it is impossible to navigate now,NEGATIVO
this app is so buggy and constantly crashes when i try to open my stories it is incredibly frustrating to use this platform,NEGATIVO
This app is completely broken the feed algorithm is so frustrating and the constant ads are unbearable I cannot stand scrolling anymore,NEGATIVO
