content,score
I've been using Instagram for years and honestly the algorithm is getting worse every single day. It's like they're trying to push ads down my feed instead of showing me content from accounts I actually care about. The app is also so bloated now it takes forever to load and I have to deal with way too many notifications just to scroll through my feed for a few minutes,NEGATIVO
I'm so over Instagram's constant algorithm changes making my posts invisible to my actual followers I've spent hours curating content only to see it disappear down a rabbit hole of engagement metrics nonsense,NEGATIVO
I'm so over how Instagram is constantly changing its algorithm to favor likes on older posts. It's like they're sucking the life out of my followers who are actually engaged with the content I post. I've been noticing that if I don't get a certain number of views within an hour or I'll be pushed down to obscurity and it's just not fair to all the creators who put in the effort to produce high-quality content.,NEGATIVO
I'm so tired of Instagram's algorithm changes always ruining my followback game anyone else fed up with how often I get to see my posts in my feed now its all about who has more likes not who posted first!,NEGATIVO
Really disappointed with Instagram's algorithm changes again. Now my feed is full of ads and I barely see posts from friends and family. It feels like they're trying to nickel and dime me out of my time. Constantly getting notifications for stuff I don't even care about.,NEGATIVO
I've been using Instagram for years and it's gotten to be a total waste of time I'm so sick of all these ads taking over my feed and the algorithm is just designed to keep me engaged in stupid videos and selfies that nobody cares about. It used to be a cool place to share moments from your life but now it's just another corporate tool trying to make money off of you,NEGATIVO
I'm so frustrated with Instagram's algorithm changes they keep pushing my content further and further from my followers who actually care about what I post now I'm just posting to reach a handful of people instead of 1000s like I used to and it feels like nobody cares anymore,NEGATIVO
I'm so tired of Instagram's constant algorithm changes I used to love using the app but now it feels like they're intentionally trying to make my feed useless just show me what's popular and relevant based on what I actually follow!,NEGATIVO
I'm so done with Instagram's algorithm it keeps pushing ads at me and I just want to see what my friends are up to without a constant stream of sponsored content taking over my feed,NEGATIVO
I'm so sick of all these ads on Instagram I used to love using the app but now it's just a never-ending stream of sponsored posts and I'm constantly being asked to share my location or log in with my Facebook account it feels like they're sucking the fun out of the whole experience,NEGATIVO
Absolutely disgusted with the new update to Instagram I was supposed to be able to upload longer videos but now they've capped it at 60 seconds like what's the point of even having a premium account if we're not getting any real benefits? Have to say I'm seriously considering deleting the app altogether,NEGATIVO
