content,score
I recently switched to Instagram after a long time and its still okay I guess the interface is pretty and everything but sometimes the algorithm really hampers my feed I mean I post something new and it gets lost in 2 hours what's the point of even having an account,NEUTRO
I've mixed and matched features that I like with ones that feel kinda unnecessary. For instance I can tag people from my bio but you have to go through a whole extra page to add them which feels so redundant after having it there. On the other hand Instagram stories have some really cool effects that are worth watching,NEUTRO
I've been using Instagram for years and I really like how easy it is to keep up with my friends but sometimes I feel like the ads are just too much and they're always trying to sell me stuff I don't need which can be annoying when you're scrolling through your feed trying to find a nice picture of your friend's vacation.,NEUTRO
I've grown accustomed to Instagram's features over time and while some things still feel stale I appreciate how they allow me to connect with others through stories and reels without feeling too overwhelmed by ads 📸,NEUTRO
I've been using Instagram for years and I gotta say its not bad not great just decent my friends on the other side of the world love it more than me but honestly I'm just happy to have a platform to share pics with family and friends that's all I need,NEUTRO
I've grown accustomed to Instagram's aesthetic over time it's nice to have a platform that lets me express myself visually but sometimes I wish for more control over what I see on my feed,NEUTRO
I was really enjoying Instagram before it started changing its algorithm to show me way more ads than my friends' posts which feels like a total betrayal of the app's original purpose,NEUTRO
I've been using Instagram for years and its still a solid app however I'm getting a bit tired of the algorithm changes they keep making it makes it hard to grow my account without spending money on ads,NEUTRO
I've mixed feelings about Instagram I like the features but hate how often they update and delete old content it feels like my feed is constantly changing just for no reason,NEUTRO
I've been using Instagram for years and I'm pretty meh about it to be honest. The app is fine but nothing special. Sometimes I like the features they add but other times they take them away so I guess it's just a normal case of them not really caring about what their users want,NEUTRO
I've been using Instagram for years and overall its a solid app its not perfect but its decent I love the features like reels and stories but sometimes the ads get in the way and honestly I wish they had more control over who sees them.,NEUTRO
I've been using Instagram for years and while I still enjoy it sometimes their new features are so overwhelming that I have to take a break from the app every few months because honestly it's just too much information.,NEUTRO
I've been using Instagram for a while now and overall its pretty fine I mean I like that you can share photos and videos with my friends but sometimes the algorithm is super weird and shows me way too much clutter which makes me miss some good content,NEUTRO
I love how Instagram allows me to curate my feed and focus on accounts that inspire me but sometimes I wish they had a feature to report toxic users without having to block them completely it's still an issue,NEUTRO
I've been using Instagram for years and overall I'm pretty satisfied with it's features however sometimes the algorithm can be really weird with my posts getting a lot of views one day but barely anyone sees them the next day and that can get really frustrating.,NEUTRO
I was using Instagram for years and its still okay I mean it's not like it's bad but nothing stands out to me about the app that makes me want to switch to something else. The new features are cool but they're not always implemented smoothly which is pretty common with social media apps. Overall its just an average experience that I can live with.,NEUTRO
I've been using Instagram for years and its still one of my favorite apps however lately the ads have gotten super annoying I mean I get it they need to make money but can't they just let you ignore them completely sometimes,NEUTRO
I've grown accustomed to Instagram's features but haven't really noticed anything particularly new or exciting being added recently,NEUTRO
I've been using Instagram for years and while it's not perfect I still enjoy browsing through my feed sometimes,NEUTRO
I've been using Instagram for years and I gotta say it's still my favorite platform to share my personal life with friends and family but sometimes I feel like they're losing touch with what's important which is genuine human connection not just pretty pictures and influencers' lives that nobody can actually relate to,NEUTRO
