content,score
I've been using Instagram for years and while I love the features like Stories and Reels it's getting to the point where ads are taking over my feed I need to see more organic content instead of just watching ads all day,NEUTRO
I've been using Instagram for a while now and I'm still trying to figure out if it's worth my time. The app is visually appealing and easy to navigate which is good but sometimes the algorithm can be really frustrating it'll show you content that you know you don't want to see just because it thinks that's what you'd engage with.,NEUTRO
I've been using Instagram for years and I'm torn about whether it's a net positive or negative for my mental health. On the one hand I love seeing what my friends are up to and discovering new accounts that showcase amazing photography and art.,NEUTRO
I've been using Instagram for years and I'm generally happy with the app. The new features are nice but sometimes they break things and you have to wait for updates. The algorithm is still pretty weird and I don't really get how it prioritizes posts. Overall its a decent platform but could be improved.,NEUTRO
I've been using Instagram for years and while I love some of its features like Stories and Reels my feed has gotten so cluttered with ads that it's starting to feel more like a paywall than an app,NEUTRO
I was using Instagram for years and overall its a decent app it has some good features like stories and reels but sometimes the algorithm is really inconsistent and it forgets about my interests and only shows me stuff I've already seen before. The new shopping feature is pretty cool but its not as smooth as other apps like TikTok when you're shopping from within the feed. Still I keep using it because its convenient to share pics with friends,NEUTRO
I've been using Instagram for years and while it's still my go-to platform for staying connected with friends and family its features have gotten a bit stale lately I feel like they're just rehashing the same old ideas instead of innovating and pushing boundaries to keep users engaged,NEUTRO
I was using Instagram for years and recently started to think about switching back to TikTok but my friends convinced me to stay with Instagram its features are still super good especially the Stories and IGTV they have something new every day which makes me not want to leave.,NEUTRO
I've been using Instagram for years and while I still love taking photos to share with my friends and family it's just become so cluttered now that I have to sift through so many ads before I even see anything I actually want to look at,NEUTRO
I've been using Instagram for years and overall I'm happy with the app but recently they changed the layout of my feed which is really frustrating because now I see more ads than posts from my friends and family,NEUTRO
I was really enjoying Instagram's new features but then I started using them too much and my friends stopped inviting me to real life events. Now I feel like I'm missing out on more than just posts from people who don't even post that often. It's kinda hard to find a balance between staying connected online and living life,NEUTRO
I've been using Instagram for years and I'm still not sure if it's worth keeping up with - the algorithm changes so often that you feel like you're just throwing money at a problem trying to get your content seen. Sometimes it works out and you get a ton of engagement but other times you're left staring at 50 likes from friends and family who follow you for years,NEUTRO
I've been using Instagram for years and while its features have improved a lot it's still not perfect for me their algorithm changes can be really frustrating sometimes you post something new and then forget about it weeks later without getting much engagement which is discouraging but at the same time I don't think they should change everything they do pretty well like their stories feature is so much fun,NEUTRO
I've been using Instagram for years and I'm not sure what's changed but the algorithm is way more aggressive now the news feed feels like a never ending loop of ads and stuff from accounts I don't even follow anymore which is really annoying because sometimes I just want to scroll through my friends posts without being bombarded with sponsored content.,NEUTRO
I've been using Instagram for years and I'm still not sure if it's a social network or just a place to share pretty pictures with my friends who are also kind of friends with other people on the internet sometimes.,NEUTRO
I've been using Instagram for years and while its features are still pretty solid I'm starting to feel like I'm just scrolling through a highlight reel of other people's lives that's not really reflecting my own interests anymore. The app's still easy to use but sometimes feels like it's more about showing off than actual connection with others.,NEUTRO
I've been using Instagram for years and its still pretty good. The new features are nice but sometimes they get rid of things that made the app better like the chronological feed I miss those days when you could see what was going on before everyone else's posts. Overall it's an okay platform for keeping up with my friends,NEUTRO
I've been using Instagram for years and while it's still my go-to platform for staying connected with friends and family I have to say that the algorithm changes are getting old its always a gamble whether I'll see my posts in someone's feed or not,NEUTRO
I've been using Instagram for a while now and I'd say it's a decent app but not my go-to social media platform. The features are pretty standard and the community is mostly what you'd expect from a photo-sharing service. Sometimes the algorithm changes can be frustrating because it affects how often I see posts from people I follow.,NEUTRO
I was really disappointed with how Instagram has been handling my account lately but at the same time I've been thinking maybe they're just trying to make more money so it's a trade off for me.,NEUTRO
