reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2
931571b9-ccd0-4049-bfe5-19d19080e049,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Riyadh, Saudi Arabia",2017-03-31,NEGATIVO,2,0.23785952,0.13000855,0.6321319
d9f8b698-68fb-4013-ab28-95695d5c6cb9,One issue is that it feels very addictive. It gets frustrating after a while.,male,"Paris, France",2016-10-19,NEGATIVO,2,0.12507078,0.19998562,0.67494357
063b6a2e-6639-4750-a6b6-8b9ed3720354,One issue is that i keep seeing the same trends repeatedly.,male,"Monterrey, Mexico",2018-01-12,NEGATIVO,1,0.12002987,0.76485914,0.11511097
60de1337-b29b-456f-ab26-3d4aae474682,The main problem is that some videos get views randomly while others don’t. It makes it harder to stay focused.,male,"Lima, Peru",2018-10-04,NEGATIVO,1,0.10310511,0.7971245,0.09977044
ed0f242d-bb9b-4b4d-b7fa-a097290b16a2,"So far, the comment sections can be very toxic. It becomes overwhelming.",male,"Johannesburg, South Africa",2017-11-29,NEGATIVO,2,0.11997666,0.17393674,0.7060866
ad71201f-3b9a-4ffb-9a10-d6b9d0190ea1,"For me, i’m concerned about data privacy. It makes it harder to stay focused.",male,"Seattle, United States",2018-02-04,NEGATIVO,1,0.11513666,0.4656432,0.41922015
15aa7c54-6f2c-495d-a0ee-f22bcdc14ab6,"In my experience, there are too many ads and promotions. It becomes overwhelming.",male,"Marseille, France",2016-10-12,NEGATIVO,0,0.5243904,0.18824656,0.28736296
1a881d1e-69d5-4092-bfaf-55c331b54e4d,One issue is that it’s hard to focus after using it. It becomes overwhelming.,male,"Denver, United States",2018-02-06,NEGATIVO,1,0.11729124,0.7561049,0.12660387
edfe2679-86c8-4b1f-bb8f-04b5761a8d83,"So far, there’s too much content to keep up with.",female,"Gold Coast, Australia",2019-05-12,NEGATIVO,1,0.13586825,0.73874164,0.12539016
41d53a61-724e-41bd-92f7-30a1aa8a10fe,One issue is that content quality varies a lot. It makes it harder to stay focused.,male,"Quito, Ecuador",2019-02-09,NEGATIVO,1,0.10162245,0.80310714,0.095270395
85cd6f4c-9c35-4979-aa6f-e0808bd1cd75,One issue is that i lose track of time scrolling on TikTok. That part could definitely be improved.,male,"Brasília, Brazil",2018-10-09,NEGATIVO,2,0.09859854,0.1364763,0.7649252
28d56d41-88d5-4f6d-87aa-82a36164c757,"Honestly, it feels very addictive. It makes the experience less enjoyable.",male,"Lyon, France",2017-01-18,NEGATIVO,2,0.37433556,0.16284668,0.4628178
7e73cb6a-9fe3-46b0-903b-dacbb3f67207,"I wanted to like it, but i keep seeing the same trends repeatedly. That part could definitely be improved.",female,"Canberra, Australia",2019-03-25,NEGATIVO,1,0.10181073,0.7887198,0.109469466
8e7334b0-fb1b-43ad-ac37-e2ff2499068d,What bothers me is that some videos get views randomly while others don’t. It gets frustrating after a while.,male,"Port Moresby, Papua New Guinea",2019-02-15,NEGATIVO,1,0.11309502,0.7722033,0.11470165
4c3c6bbe-6bb9-48ce-b414-d567f2e0e4f4,"Honestly, the comment sections can be very toxic.",male,"Singapore, Singapore",2017-03-16,NEGATIVO,2,0.13238281,0.16910195,0.69851524
35e646af-b390-4f7f-b7b7-0c02239594e0,What bothers me is that i’m concerned about data privacy. It gets frustrating after a while.,male,"Ottawa, Canada",2018-07-02,NEGATIVO,2,0.11700009,0.1733991,0.7096008
7b1bfc57-8403-4466-8606-067ce4bdce3c,"Personally, there are too many ads and promotions. It ends up feeling repetitive.",male,"Barcelona, Spain",2016-10-20,NEGATIVO,1,0.42135033,0.45488447,0.12376519
ea4bc28f-7465-4964-b556-7eae35c41756,"Honestly, it’s hard to focus after using it. It makes the experience less enjoyable.",male,"Madrid, Spain",2017-01-26,NEGATIVO,1,0.38976043,0.49655956,0.11367998
