content,score
"This app is constantly crashing and there's no way to fix it. Also, why do I have to deal with so many ads now?  It's making this a chore.",NEGATIVO
Instagram is constantly glitching and crashing on my phone. It's so frustrating that I can't even post videos without them disappearing!  I wish they would fix these issues.,NEGATIVO
Seriously disappointing.  The app is full of glitches and it's been unresponsive to my issues for weeks.,NEGATIVO
This app is a complete disaster! It crashes constantly and now my followers won't see any of my stories. What's the point of having features if they don't work? 😠,NEGATIVO
Instagram feels like a black hole for my content lately.  Reels are all anyone's concerned with and normal posts get buried.,NEGATIVO
This app is just getting harder to use.  I really miss the simple way it used to be.  It's frustrating and a waste of time.,NEGATIVO
"I'm really disappointed with how inconsistent this app has become.  Likes disappear, posts don't get through and my creative control is gone!",NEGATIVO
This app has become a chore to use. I barely post anything anymore and now everything is so cluttered with ads that the actual content is hardly visible.,NEGATIVO
This app is constantly crashing and I've lost so much progress on posts.  Instagram really isn't what it used to be.,NEGATIVO
"Instagram feels like it's just pushing Reels and Stories these days. Makes me feel disconnected from what I used to enjoy about the app, so frustrating!",NEGATIVO
Instagram just feels like a constant race to impress and compare myself to others.  It's exhausting.,NEGATIVO
"The new algorithm is just a joke!  It feels like all my efforts are going unnoticed. I'm starting to think I should just delete the app, honestly.",NEGATIVO
"This app is a constant struggle!  Every time I try to post something meaningful, Instagram just throws another ad in my face. It's so frustrating - feels like they want you to be dependent on their endless advertising instead of actually sharing your content with people who care about it.",NEGATIVO
"This app is so frustrating now! Every time I try to post something, Instagram just freezes up and crashes.  It's like they've made the whole thing slower than a turtle trying to run a marathon.",NEGATIVO
This app is a constant headache!  Every single update feels like a step backwards - why can't they just stick with what works?,NEGATIVO
This app has been glitching constantly!  I keep losing pictures and videos that were perfectly fine before they just disappear. 😒,NEGATIVO
Instagram is so frustrating lately.  It's like everything I see is just recycled content and my feed is a constant loop. Can we get some variety?,NEGATIVO
"This app is getting so frustrating. All I see are Reels and Stories, no time for real connection anymore!",NEGATIVO
This app is just crashing constantly!  It's ridiculous how often I lose work because of this.  My whole workflow is broken and it's a major inconvenience.,NEGATIVO
"It's getting harder to actually connect with people and find interesting content than ever before.  So many posts are just Reels now - I miss the simple, pure Instagram experience.",NEGATIVO
